Chain Name,Customer Name,Address,City,State,Zip Code,Prod #,Description,Pack,Size,Cost,Units
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 041,3320 N 7TH AVE              ,PHOENIX           ,AZ,85013,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 041,3320 N 7TH AVE              ,PHOENIX           ,AZ,85013,25452,BERRY PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 104,220 RANDALL MILL AVE        ,SOUTHLAKE         ,TX,76092,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 107,207 EAST FM 544             ,MURPHY            ,TX,75094,45453,SUPERFOOD POWDER,1,20 OZ,$404.75 ,25
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 107,207 EAST FM 544             ,MURPHY            ,TX,75094,35454,PLAIN PLANT YOGURT,6,6 OZ,$24.72 ,4
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 108,110 WEST SANDY LAKE RD      ,COPPELL           ,TX,75019,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 108,110 WEST SANDY LAKE RD      ,COPPELL           ,TX,75019,35454,PLAIN PLANT YOGURT,6,6 OZ,$24.72 ,4
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 110,110 N INTERSTATE 35 STE 299 ,ROUND ROCK        ,TX,78681,45453,SUPERFOOD POWDER,1,20 OZ,$64.76 ,4
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 110,110 N INTERSTATE 35 STE 299 ,ROUND ROCK        ,TX,78681,35454,PLAIN PLANT YOGURT,6,6 OZ,$18.54 ,3
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 115,1745 E HEBRON PKWY          ,CARROLTON         ,TX,75010,45453,SUPERFOOD POWDER,1,20 OZ,$80.95 ,5
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 115,1745 E HEBRON PKWY          ,CARROLTON         ,TX,75010,35454,PLAIN PLANT YOGURT,6,6 OZ,$12.36 ,2
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 117,4006 S. LAMAR #400          ,AUSTIN            ,TX,78704,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 117,4006 S. LAMAR #400          ,AUSTIN            ,TX,78704,35454,PLAIN PLANT YOGURT,6,6 OZ,$49.44 ,8
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 118,8101 CALLAGHAN RD.          ,SAN ANTONIO       ,TX,78230,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 119,1440 AIRLINE                ,CORPUS CHRISTI    ,TX,78412,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 119,1440 AIRLINE                ,CORPUS CHRISTI    ,TX,78412,35454,PLAIN PLANT YOGURT,6,6 OZ,$6.18 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 126,1800 N HENDERSON AVE        ,DALLAS            ,TX,75206,45453,SUPERFOOD POWDER,1,20 OZ,$80.95 ,5
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 126,1800 N HENDERSON AVE        ,DALLAS            ,TX,75206,35454,PLAIN PLANT YOGURT,6,6 OZ,$6.18 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 130,22506 HWY 249               ,HOUSTON           ,TX,77070,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 130,22506 HWY 249               ,HOUSTON           ,TX,77070,35454,PLAIN PLANT YOGURT,6,6 OZ,$6.18 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 132,9241 VIRGINIA PKWY          ,MCKINNEY          ,TX,75071,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 132,9241 VIRGINIA PKWY          ,MCKINNEY          ,TX,75071,35454,PLAIN PLANT YOGURT,6,6 OZ,$6.18 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 133,11940 WESTHEIMER RD         ,HOUSTON           ,TX,77077,45453,SUPERFOOD POWDER,1,20 OZ,$97.14 ,6
